Exchange Date,Close
15-Oct-2010,15.45
22-Oct-2010,15.07
29-Oct-2010,14.63
05-Nov-2010,14.51
12-Nov-2010,14.90
19-Nov-2010,14.96
26-Nov-2010,15.08
03-Dec-2010,14.75
10-Dec-2010,14.59
17-Dec-2010,13.98
24-Dec-2010,13.87
31-Dec-2010,14.02
07-Jan-2011,14.41
14-Jan-2011,14.27
21-Jan-2011,14.26
28-Jan-2011,14.54
04-Feb-2011,14.49
11-Feb-2011,14.67
18-Feb-2011,14.63
25-Feb-2011,15.21
04-Mar-2011,15.50
11-Mar-2011,15.30
18-Mar-2011,16.76
25-Mar-2011,16.33
01-Apr-2011,16.75
08-Apr-2011,16.60
15-Apr-2011,16.69
22-Apr-2011,16.50
29-Apr-2011,16.70
06-May-2011,16.66
13-May-2011,16.38
20-May-2011,15.99
27-May-2011,16.60
03-Jun-2011,16.53
10-Jun-2011,16.37
17-Jun-2011,15.40
24-Jun-2011,12.07
01-Jul-2011,13.11
08-Jul-2011,12.54
15-Jul-2011,12.26
22-Jul-2011,12.84
29-Jul-2011,12.11
05-Aug-2011,10.58
12-Aug-2011,12.33
19-Aug-2011,12.36
26-Aug-2011,13.05
02-Sep-2011,12.51
09-Sep-2011,11.79
16-Sep-2011,12.06
23-Sep-2011,11.27
30-Sep-2011,10.66
07-Oct-2011,10.40
14-Oct-2011,10.36
21-Oct-2011,10.31
28-Oct-2011,10.37
04-Nov-2011,9.39
11-Nov-2011,10.11
18-Nov-2011,9.33
25-Nov-2011,7.69
02-Dec-2011,7.82
09-Dec-2011,7.84
16-Dec-2011,6.75
23-Dec-2011,7.85
30-Dec-2011,6.97
06-Jan-2012,6.30
13-Jan-2012,6.73
20-Jan-2012,7.02
27-Jan-2012,7.97
03-Feb-2012,8.29
10-Feb-2012,7.71
17-Feb-2012,9.04
24-Feb-2012,9.19
02-Mar-2012,8.83
09-Mar-2012,7.90
16-Mar-2012,7.60
23-Mar-2012,6.87
30-Mar-2012,6.98
06-Apr-2012,6.68
13-Apr-2012,7.12
20-Apr-2012,7.32
27-Apr-2012,7.24
04-May-2012,6.60
11-May-2012,6.73
18-May-2012,6.33
25-May-2012,6.80
01-Jun-2012,6.38
08-Jun-2012,6.60
15-Jun-2012,7.23
22-Jun-2012,8.09
29-Jun-2012,8.20
06-Jul-2012,7.99
13-Jul-2012,7.59
20-Jul-2012,7.08
27-Jul-2012,6.86
03-Aug-2012,7.06
10-Aug-2012,7.16
17-Aug-2012,7.66
24-Aug-2012,8.13
31-Aug-2012,8.03
07-Sep-2012,8.33
14-Sep-2012,7.40
21-Sep-2012,7.41
28-Sep-2012,7.93
05-Oct-2012,7.77
12-Oct-2012,7.80
19-Oct-2012,7.94
26-Oct-2012,7.86
02-Nov-2012,8.10
09-Nov-2012,8.32
16-Nov-2012,6.89
23-Nov-2012,7.01
30-Nov-2012,6.20
07-Dec-2012,6.78
14-Dec-2012,6.57
21-Dec-2012,7.00
28-Dec-2012,6.50
04-Jan-2013,6.14
11-Jan-2013,5.72
18-Jan-2013,4.97
25-Jan-2013,4.00
01-Feb-2013,4.21
08-Feb-2013,4.43
15-Feb-2013,5.06
22-Feb-2013,5.07
01-Mar-2013,4.57
08-Mar-2013,4.18
15-Mar-2013,3.71
22-Mar-2013,4.08
29-Mar-2013,4.74
05-Apr-2013,5.10
12-Apr-2013,4.70
